mt_id,x,y,density,mt,t_seconds,mt_length,deltaR_um
4_250,445.312,419,250,4,152,10.6336,1.24068228
4_250,445.5,413,250,4,154,10.6336,1.200588922
4_250,444.875,407.75,250,4,156,10.6336,1.057414299
4_250,445.188,401.938,250,4,158,10.6336,1.164084413
4_250,445.188,395,250,4,160,10.6336,1.3876
4_250,445.125,391.25,250,4,162,10.6336,0.750105833
4_250,444.812,385.125,250,4,164,10.6336,1.226598451
4_250,443.062,379.062,250,4,166,10.6336,1.262100931
4_250,441.875,373.375,250,4,168,10.6336,1.16191115
4_250,441.25,369.188,250,4,170,10.6336,0.846678073
4_250,441,362.75,250,4,172,10.6336,1.288570433
4_250,439.125,358,250,4,174,10.6336,1.021334911
4_250,439,354.562,250,4,176,10.6336,0.688054329
4_250,437.562,348.062,250,4,178,10.6336,1.331432972
4_250,434.625,341.938,250,4,180,10.6336,1.358371746
4_250,433.062,337,250,4,182,10.6336,1.035892137
4_250,433.438,332.188,250,4,184,10.6336,0.965333517
4_250,432.875,327.25,250,4,186,10.6336,0.993998249
4_250,432.562,321.75,250,4,188,10.6336,1.101779815
4_250,431.312,317.062,250,4,190,10.6336,0.970357542
4_250,431,313.062,250,4,192,10.6336,0.80242991
4_250,429.875,307,250,4,194,10.6336,1.233101277
4_250,429.188,301.938,250,4,196,10.6336,1.021681222
4_250,428.812,296.188,250,4,198,10.6336,1.15245609
4_250,429.375,290.188,250,4,200,10.6336,1.205271239
5_250,593,811,250,5,2,9.919,0
5_250,586.938,812.562,250,5,4,9.919,1.252001406
5_250,582,814.25,250,5,6,9.919,1.043708542
5_250,576,815.917,250,5,8,9.919,1.245453957
5_250,570.167,818.083,250,5,10,9.919,1.244434731
5_250,565.083,821.667,250,5,12,9.919,1.244059677
5_250,560.125,823.458,250,5,14,9.919,1.0543139
5_250,554.583,825.875,250,5,16,9.919,1.209225421
5_250,549.875,827.833,250,5,18,9.919,1.01978484
5_250,545.458,830.375,250,5,20,9.919,1.019247821
5_250,539.917,831.792,250,5,22,9.919,1.143863104
5_250,535.292,838.125,250,5,24,9.919,1.568407014
5_250,531.958,841,250,5,26,9.919,0.880481255
5_250,528.875,845.833,250,5,28,9.919,1.146521312
5_250,522.958,850.875,250,5,30,9.919,1.554768832
5_250,519.792,854.167,250,5,32,9.919,0.913472933
5_250,514.875,856.292,250,5,34,9.919,1.071307874
5_250,510.917,858.208,250,5,36,9.919,0.879473024
